Solving vm1084
[0s]  C: construct_random_replicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[0s]  		O: insert1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: remove1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: two_opt                  -----> [5s]  Current: [fitness: 8702837  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[5s]  		O: exchange_ids             -----> [9s]  Current: [fitness: 8634413  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8702837  last updated: 5s  feasible: 1  size: 1084]
[9s]  		O: exchange_1_2             -----> [16s]  Current: [fitness: 8575526  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8634413  last updated: 9s  feasible: 1  size: 1084]
[16s]  		O: exchange_2_2             -----> [24s]  Current: [fitness: 8517561  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8575526  last updated: 16s  feasible: 1  size: 1084]
[24s]  		O: exchange_3_3             -----> [31s]  Current: [fitness: 8462920  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8517561  last updated: 24s  feasible: 1  size: 1084]
[31s]  		O: exchange_3_4             -----> [38s]  Current: [fitness: 8408545  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8462920  last updated: 31s  feasible: 1  size: 1084]
[38s]  		O: exchange_4_4             -----> [45s]  Current: [fitness: 8357364  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8408545  last updated: 38s  feasible: 1  size: 1084]
[45s]  		O: rexchange_2_2            -----> [53s]  Current: [fitness: 8297336  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8357364  last updated: 45s  feasible: 1  size: 1084]
[53s]  		O: rexchange_2_3            -----> [62s]  Current: [fitness: 8244916  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8297336  last updated: 53s  feasible: 1  size: 1084]
[62s]  		O: rexchange_4_4            -----> [70s]  Current: [fitness: 8192347  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8244916  last updated: 62s  feasible: 1  size: 1084]
[70s]  		O: centered_exchange_1      -----> [70s]  Current: [fitness: 8168608  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8192347  last updated: 70s  feasible: 1  size: 1084]
[70s]  		O: relocate_1               -----> [78s]  Current: [fitness: 8133681  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8168608  last updated: 70s  feasible: 1  size: 1084]
[78s]  		O: relocate_5               -----> [86s]  Current: [fitness: 8097311  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8133681  last updated: 78s  feasible: 1  size: 1084]
