Solving vm1084
[0s]  C: constructRandomReplicate -----> [0s]  Current: [fitness: 4294967295  updated: 1  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  MH: ILS                       
[0s]  	LS: cyclicVND                
[0s]  		O: insert1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: remove1                  -----> [0s]  Current: [fitness: 4294967295  updated: 0  feasible: 0  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[0s]  		O: two_opt                  -----> [4s]  Current: [fitness: 8808006  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 4294967295  last updated: 0s  feasible: 0  size: 0]
[4s]  		O: exchange_ids             -----> [9s]  Current: [fitness: 8742342  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8808006  last updated: 4s  feasible: 1  size: 1084]
[9s]  		O: exchange_1_2             -----> [16s]  Current: [fitness: 8682135  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8742342  last updated: 9s  feasible: 1  size: 1084]
[16s]  		O: exchange_2_2             -----> [24s]  Current: [fitness: 8624562  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8682135  last updated: 16s  feasible: 1  size: 1084]
[24s]  		O: exchange_3_3             -----> [31s]  Current: [fitness: 8562692  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8624562  last updated: 24s  feasible: 1  size: 1084]
[31s]  		O: exchange_3_4             -----> [38s]  Current: [fitness: 8506678  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8562692  last updated: 31s  feasible: 1  size: 1084]
[38s]  		O: exchange_4_4             -----> [45s]  Current: [fitness: 8451727  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8506678  last updated: 38s  feasible: 1  size: 1084]
[45s]  		O: rexchange_2_2            -----> [53s]  Current: [fitness: 8390515  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8451727  last updated: 45s  feasible: 1  size: 1084]
[53s]  		O: rexchange_2_3            -----> [61s]  Current: [fitness: 8333134  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8390515  last updated: 53s  feasible: 1  size: 1084]
[61s]  		O: rexchange_4_4            -----> [69s]  Current: [fitness: 8280071  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8333134  last updated: 61s  feasible: 1  size: 1084]
[69s]  		O: centered_exchange_1      -----> [69s]  Current: [fitness: 8255532  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8280071  last updated: 69s  feasible: 1  size: 1084]
[69s]  		O: relocate_1               -----> [77s]  Current: [fitness: 8225544  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8255532  last updated: 69s  feasible: 1  size: 1084]
[77s]  		O: relocate_5               -----> [85s]  Current: [fitness: 8187371  updated: 1  feasible: 1  size: 1084]    BKS: [fitness: 8225544  last updated: 77s  feasible: 1  size: 1084]
