         19 646208

  0  8 38 41 56 39 53 77 50 30 58 55 19 85 52 34 53 40 69
  8  0 12 85 72  7 49 46 87 58 17 68 27 21  6 67 26 82 44
 38 12  0 35  3 62  8 51  1 91 39 87 72 45 96  7 87 68 33
 41 85 35  0  3 21 90 45 47 25 30 43 97 33 35 61 42 36 43
 56 72  3  3  0  7 84  6  0  0 48 62 59 29 94 82 29  3  3
 39  7 62 21  7  0 51 67 39 15 66 42 23 62 62 28 76 66 82
 53 49  8 90 84 51  0 98 35 15 17 77 44 26 76 86 60 62 62
 77 46 51 45  6 67 98  0 83 91 57 62 36  2  2 43 65 37 49
 50 87  1 47  0 39 35 83  0 61  5 34 53 96 82 48 28 31 75
 30 58 91 25  0 15 15 91 61  0  1 95  7 92 69 62 32 97  5
 58 17 39 30 48 66 17 57  5  1  0 39 50 82 93 71 35 14 20
 55 68 87 43 62 42 77 62 34 95 39  0 74 49 50 37 79 19 51
 19 27 72 97 59 23 44 36 53  7 50 74  0 70 42 26 79 98 60
 85 21 45 33 29 62 26  2 96 92 82 49 70  0 35  9 96 70 21
 52  6 96 35 94 62 76  2 82 69 93 50 42 35  0 37 37 67 93
 34 67  7 61 82 28 86 43 48 62 71 37 26  9 37  0 93 39  2
 53 26 87 42 29 76 60 65 28 32 35 79 79 96 37 93  0 52 26
 40 82 68 36  3 66 62 37 31 97 14 19 98 70 67 39 52  0 90
 69 44 33 43  3 82 62 49 75  5 20 51 60 21 93  2 26 90  0

  0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79  0 89 35
 21  0  9  1 85 84 12  0 26 91 11 35 82 26 69 56 86 45 91
 95  9  0 59 18 76 39 18 57 36 61 36 21 71 11 29 82 82  6
 82  1 59  0 71  8 77 74 30 89 76 76 40 93 56  1 50  4 36
 56 85 18 71  0 27 85  2  1 15 11 35 11 20 21 61 80 58 21
 41 84 76  8 27  0 76 72 44 85 94 90 51  3 48 29 90 66 41
  6 12 39 77 85 76  0 15 83 96 74 45 65 40 54 83 14 71 77
 25  0 18 74  2 72 15  0 36 53 37 26 87 76 91 13 29 11 77
 10 26 57 30  1 44 83 36  0 32 87 67 94 79  2 10 99 56 70
  4 91 36 89 15 85 96 53 32  0 99 60  4 56  2 60 72 74 46
 63 11 61 76 11 94 74 37 87 99  0 13 20 86  4 77 15 89 48
  6 35 36 76 35 90 45 26 67 60 13  0 14 89 44 59 22 57 63
 44 82 21 40 11 51 65 87 94  4 20 14  0  6  0 62 41 62 46
 40 26 71 93 20  3 40 76 79 56 86 89  6  0 25 75 76 40 66
 75 69 11 56 21 48 54 91  2  2  4 44  0 25  0 58 30 68 78
 79 56 29  1 61 29 83 13 10 60 77 59 62 75 58  0 91 13 59
  0 86 82 50 80 90 14 29 99 72 15 22 41 76 30 91  0 49 85
 89 45 82  4 58 66 71 11 56 74 89 57 62 40 68 13 49  0 84
 35 91  6 36 21 41 77 77 70 46 48 63 46 66 78 59 85 84  0
