         18 568250

  0 41 62 46 25 75 76 40 66 58 30 68 78 91 13 59 49 85
 41  0 84  8 38 41 56 39 53 77 50 30 58 55 19 85 52 34
 62 84  0 53 40 69 12 85 72  7 49 46 87 58 17 68 27 21
 46  8 53  0  6 67 26 82 44 35  3 62  8 51  1 91 39 87
 25 38 40  6  0 72 45 96  7 87 68 33  3 21 90 45 47 25
 75 41 69 67 72  0 30 43 97 33 35 61 42 36 43  7 84  6
 76 56 12 26 45 30  0  0  0 48 62 59 29 94 82 29  3  3
 40 39 85 82 96 43  0  0 51 67 39 15 66 42 23 62 62 28
 66 53 72 44  7 97  0 51  0 76 66 82 98 35 15 17 77 44
 58 77  7 35 87 33 48 67 76  0 26 76 86 60 62 62 83 91
 30 50 49  3 68 35 62 39 66 26  0 57 62 36  2  2 43 65
 68 30 46 62 33 61 59 15 82 76 57  0 37 49 61  5 34 53
 78 58 87  8  3 42 29 66 98 86 62 37  0 96 82 48 28 31
 91 55 58 51 21 36 94 42 35 60 36 49 96  0 75  1 95  7
 13 19 17  1 90 43 82 23 15 62  2 61 82 75  0 92 69 62
 59 85 68 91 45  7 29 62 17 62  2  5 48  1 92  0 32 97
 49 52 27 39 47 84  3 62 77 83 43 34 28 95 69 32  0  5
 85 34 21 87 25  6  3 28 44 91 65 53 31  7 62 97  5  0

  0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79  0 89
 21  0 35  9  1 85 84 12  0 26 91 11 35 82 26 69 56 86
 95 35  0 45 91 59 18 76 39 18 57 36 61 36 21 71 11 29
 82  9 45  0 82 82  6 71  8 77 74 30 89 76 76 40 93 56
 56  1 91 82  0  1 50  4 36 27 85  2  1 15 11 35 11 20
 41 85 59 82  1  0 21 61 80 58 21 76 72 44 85 94 90 51
  6 84 18  6 50 21  0  3 48 29 90 66 41 15 83 96 74 45
 25 12 76 71  4 61  3  0 65 40 54 83 14 71 77 36 53 37
 10  0 39  8 36 80 48 65  0 26 87 76 91 13 29 11 77 32
  4 26 18 77 27 58 29 40 26  0 87 67 94 79  2 10 99 56
 63 91 57 74 85 21 90 54 87 87  0 70 99 60  4 56  2 60
  6 11 36 30  2 76 66 83 76 67 70  0 72 74 46 13 20 86
 44 35 61 89  1 72 41 14 91 94 99 72  0  4 77 15 89 48
 40 82 36 76 15 44 15 71 13 79 60 74  4  0 14 89 44 59
 75 26 21 76 11 85 83 77 29  2  4 46 77 14  0 22 57 63
 79 69 71 40 35 94 96 36 11 10 56 13 15 89 22  0  6  0
  0 56 11 93 11 90 74 53 77 99  2 20 89 44 57  6  0 62
 89 86 29 56 20 51 45 37 32 56 60 86 48 59 63  0 62  0
