         16 436316

  0 79  2 10 99 56 70 99 60  4 56  2 60 72 74 46
 79  0 13 20 86  4 77 15 89 48 14 89 44 59 22 57
  2 13  0 63  6  0 62 41 62 46 25 75 76 40 66 58
 10 20 63  0 30 68 78 91 13 59 49 85 84  8 38 41
 99 86  6 30  0 56 39 53 77 50 30 58 55 19 85 52
 56  4  0 68 56  0 34 53 40 69 12 85 72  7 49 46
 70 77 62 78 39 34  0 87 58 17 68 27 21  6 67 26
 99 15 41 91 53 53 87  0 82 44 35  3 62  8 51  1
 60 89 62 13 77 40 58 82  0 91 39 87 72 45 96  7
  4 48 46 59 50 69 17 44 91  0 87 68 33  3 21 90
 56 14 25 49 30 12 68 35 39 87  0 45 47 25 30 43
  2 89 75 85 58 85 27  3 87 68 45  0 97 33 35 61
 60 44 76 84 55 72 21 62 72 33 47 97  0 42 36 43
 72 59 40  8 19  7  6  8 45  3 25 33 42  0  7 84
 74 22 66 38 85 49 67 51 96 21 30 35 36  7  0  6
 46 57 58 41 52 46 26  1  7 90 43 61 43 84  6  0

  0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79
 21  0  0 89 35  9  1 85 84 12  0 26 91 11 35 82
 95  0  0 26 69 56 86 45 91 59 18 76 39 18 57 36
 82 89 26  0 61 36 21 71 11 29 82 82  6 71  8 77
 56 35 69 61  0 74 30 89 76 76 40 93 56  1 50  4
 41  9 56 36 74  0 36 27 85  2  1 15 11 35 11 20
  6  1 86 21 30 36  0 21 61 80 58 21 76 72 44 85
 25 85 45 71 89 27 21  0 94 90 51  3 48 29 90 66
 10 84 91 11 76 85 61 94  0 41 15 83 96 74 45 65
  4 12 59 29 76  2 80 90 41  0 40 54 83 14 71 77
 63  0 18 82 40  1 58 51 15 40  0 36 53 37 26 87
  6 26 76 82 93 15 21  3 83 54 36  0 76 91 13 29
 44 91 39  6 56 11 76 48 96 83 53 76  0 11 77 32
 40 11 18 71  1 35 72 29 74 14 37 91 11  0 87 67
 75 35 57  8 50 11 44 90 45 71 26 13 77 87  0 94
 79 82 36 77  4 20 85 66 65 77 87 29 32 67 94  0
