         11 188368

  0 30 89 76 76 40 93 56  1 50  4
 30  0 36 27 85  2  1 15 11 35 11
 89 36  0 20 21 61 80 58 21 76 72
 76 27 20  0 44 85 94 90 51  3 48
 76 85 21 44  0 29 90 66 41 15 83
 40  2 61 85 29  0 96 74 45 65 40
 93  1 80 94 90 96  0 54 83 14 71
 56 15 58 90 66 74 54  0 77 36 53
  1 11 21 51 41 45 83 77  0 37 26
 50 35 76  3 15 65 14 36 37  0 87
  4 11 72 48 83 40 71 53 26 87  0

  0 21 95 82 56 41  6 25 10  4 63
 21  0  6 44 40 75 79  0 89 35  9
 95  6  0  1 85 84 12  0 26 91 11
 82 44  1  0 35 82 26 69 56 86 45
 56 40 85 35  0 91 59 18 76 39 18
 41 75 84 82 91  0 57 36 61 36 21
  6 79 12 26 59 57  0 71 11 29 82
 25  0  0 69 18 36 71  0 82  6 71
 10 89 26 56 76 61 11 82  0  8 77
  4 35 91 86 39 36 29  6  8  0 74
 63  9 11 45 18 21 82 71 77 74  0
