          9 94622

  0 18 76 39 18 57 36 61 36
 18  0 21 71 11 29 82 82  6
 76 21  0 71  8 77 74 30 89
 39 71 71  0 76 76 40 93 56
 18 11  8 76  0  1 50  4 36
 57 29 77 76  1  0 27 85  2
 36 82 74 40 50 27  0  1 15
 61 82 30 93  4 85  1  0 11
 36  6 89 56 36  2 15 11  0

  0 21 95 82 56 41  6 25 10
 21  0  4 63  6 44 40 75 79
 95  4  0  0 89 35  9  1 85
 82 63  0  0 84 12  0 26 91
 56  6 89 84  0 11 35 82 26
 41 44 35 12 11  0 69 56 86
  6 40  9  0 35 69  0 45 91
 25 75  1 26 82 56 45  0 59
 10 79 85 91 26 86 91 59  0
