         13 270750

  0 58 21 76 72 44 85 94 90 51  3 48 29
 58  0 90 66 41 15 83 96 74 45 65 40 54
 21 90  0 83 14 71 77 36 53 37 26 87 76
 76 66 83  0 91 13 29 11 77 32 87 67 94
 72 41 14 91  0 79  2 10 99 56 70 99 60
 44 15 71 13 79  0  4 56  2 60 72 74 46
 85 83 77 29  2  4  0 13 20 86  4 77 15
 94 96 36 11 10 56 13  0 89 48 14 89 44
 90 74 53 77 99  2 20 89  0 59 22 57 63
 51 45 37 32 56 60 86 48 59  0  6  0 62
  3 65 26 87 70 72  4 14 22  6  0 41 62
 48 40 87 67 99 74 77 89 57  0 41  0 46
 29 54 76 94 60 46 15 44 63 62 62 46  0

  0 21 95 82 56 41  6 25 10  4 63  6 44
 21  0 40 75 79  0 89 35  9  1 85 84 12
 95 40  0  0 26 91 11 35 82 26 69 56 86
 82 75  0  0 45 91 59 18 76 39 18 57 36
 56 79 26 45  0 61 36 21 71 11 29 82 82
 41  0 91 91 61  0  6 71  8 77 74 30 89
  6 89 11 59 36  6  0 76 76 40 93 56  1
 25 35 35 18 21 71 76  0 50  4 36 27 85
 10  9 82 76 71  8 76 50  0  2  1 15 11
  4  1 26 39 11 77 40  4  2  0 35 11 20
 63 85 69 18 29 74 93 36  1 35  0 21 61
  6 84 56 57 82 30 56 27 15 11 21  0 80
 44 12 86 36 82 89  1 85 11 20 61 80  0
