         14 339524

  0 66 41 15 83 96 74 45 65 40 54 83 14 71
 66  0 77 36 53 37 26 87 76 91 13 29 11 77
 41 77  0 32 87 67 94 79  2 10 99 56 70 99
 15 36 32  0 60  4 56  2 60 72 74 46 13 20
 83 53 87 60  0 86  4 77 15 89 48 14 89 44
 96 37 67  4 86  0 59 22 57 63  6  0 62 41
 74 26 94 56  4 59  0 62 46 25 75 76 40 66
 45 87 79  2 77 22 62  0 58 30 68 78 91 13
 65 76  2 60 15 57 46 58  0 59 49 85 84  8
 40 91 10 72 89 63 25 30 59  0 38 41 56 39
 54 13 99 74 48  6 75 68 49 38  0 53 77 50
 83 29 56 46 14  0 76 78 85 41 53  0 30 58
 14 11 70 13 89 62 40 91 84 56 77 30  0 55
 71 77 99 20 44 41 66 13  8 39 50 58 55  0

  0 21 95 82 56 41  6 25 10  4 63  6 44 40
 21  0 75 79  0 89 35  9  1 85 84 12  0 26
 95 75  0 91 11 35 82 26 69 56 86 45 91 59
 82 79 91  0 18 76 39 18 57 36 61 36 21 71
 56  0 11 18  0 11 29 82 82  6 71  8 77 74
 41 89 35 76 11  0 30 89 76 76 40 93 56  1
  6 35 82 39 29 30  0 50  4 36 27 85  2  1
 25  9 26 18 82 89 50  0 15 11 35 11 20 21
 10  1 69 57 82 76  4 15  0 61 80 58 21 76
  4 85 56 36  6 76 36 11 61  0 72 44 85 94
 63 84 86 61 71 40 27 35 80 72  0 90 51  3
  6 12 45 36  8 93 85 11 58 44 90  0 48 29
 44  0 91 21 77 56  2 20 21 85 51 48  0 90
 40 26 59 71 74  1  1 21 76 94  3 29 90  0
